ip,module,version,eol_status
139.162.31.77,mongodb,4.4.28,2024-02-29
139.162.5.177,mongodb,4.2.20,2023-04-30
194.242.45.55,mongodb,6.0.8,2025-07-31
139.162.113.116,mongodb,3.4.17,2020-01-31
139.162.24.235,mongodb,4.0.26-21,2022-04-30
37.97.173.48,mongodb,7.0.31,False
83.149.87.251,mongodb,7.0.9,False
139.162.79.227,mongodb,4.4.29,2024-02-29
212.69.87.7,mongodb,6.0.27,2025-07-31
149.210.166.177,mongodb,2.4.10,2013-03-31
139.162.8.143,mongodb,6.0.16,2025-07-31
45.144.164.197,mongodb,4.4.30,2024-02-29
45.154.26.18,mongodb,6.0.27,2025-07-31
139.162.29.171,mongodb,4.2.1,2023-04-30
45.91.135.231,mongodb,4.4.2,2024-02-29
185.180.223.165,mongodb,4.4.12,2024-02-29
139.162.35.223,mongodb,4.4.1,2024-02-29
139.162.185.152,mongodb,7.0.12,False
139.162.205.181,mongodb,7.0.12,False
81.4.109.252,mongodb,4.4.17,2024-02-29
139.162.123.166,mongodb,8.0.10,False
45.144.166.28,mongodb,3.4.16,2020-01-31
136.144.175.225,mongodb,4.2.23,2023-04-30
5.39.219.88,mongodb,7.0.25,False
185.229.32.114,mongodb,7.0.31,False
188.213.94.145,mongodb,4.2.0,2023-04-30
139.162.50.89,mongodb,5.0.11,2024-10-31
45.133.18.135,mongodb,7.0.28,False
139.162.63.218,mongodb,3.6.9,2021-04-30
139.162.101.11,mongodb,7.0.30,False
139.162.52.149,mongodb,5.0.27,2024-10-31
139.162.9.95,mongodb,7.0.12,False
194.26.232.34,mongodb,7.0.9,False
139.162.44.211,mongodb,4.4.29,2024-02-29
194.62.1.60,mongodb,7.0.34,False
139.162.28.32,mongodb,8.0.5,False
185.231.69.21,mongodb,6.0.21,2025-07-31
45.82.68.149,mongodb,5.0.32,2024-10-31
78.140.179.110,mongodb,8.0.10,False
139.162.179.158,mongodb,8.0.4-2,False
66.151.43.194,mongodb,8.0.4,False
139.162.161.102,mongodb,6.0.16,2025-07-31
66.151.35.176,mongodb,unknown,N/A
185.103.240.98,mongodb,5.0.31,2024-10-31
139.162.58.249,mongodb,5.0.11,2024-10-31
185.130.227.80,mongodb,8.0.3,False
66.151.32.237,mongodb,unknown,N/A
172.241.64.196,mongodb,6.0.21,2025-07-31
37.34.56.196,mongodb,4.2.8,2023-04-30
93.119.3.132,mongodb,7.0.16,False
136.144.146.226,mongodb,4.4.29,2024-02-29
185.165.44.101,mongodb,8.0.3,False
170.23.151.37,mongodb,6.0.27,2025-07-31
188.137.249.223,mongodb,7.0.28,False
139.162.11.205,mongodb,7.0.0,False
139.162.132.253,mongodb,unknown,N/A
45.136.253.106,mongodb,4.4.29,2024-02-29
139.162.149.212,mongodb,5.0.27,2024-10-31
194.242.33.182,mongodb,4.0.2,2022-04-30
139.162.52.36,mongodb,2.4.9,2013-03-31
5.255.103.221,mongodb,7.0.21,False
139.162.182.215,mongodb,7.0.18,False
185.218.204.184,mongodb,7.0.77,False
5.178.35.34,mongodb,4.4.6,2024-02-29
45.144.165.210,mongodb,4.4.30,2024-02-29
31.207.44.44,mongodb,7.0.22,False
5.255.86.9,mongodb,3.4.24,2020-01-31
139.162.104.144,mongodb,6.0.16,2025-07-31
139.162.117.178,mongodb,6.0.2,2025-07-31
45.133.17.27,mongodb,unknown,N/A
178.226.32.80,mongodb,4.2.2,2023-04-30
185.107.90.186,mongodb,7.0.6,False
91.232.105.64,mongodb,5.0.30,2024-10-31
172.241.69.140,mongodb,6.0.21,2025-07-31
95.98.151.237,mongodb,8.0.9,False
109.207.172.134,mongodb,unknown,N/A
45.133.16.95,mongodb,unknown,N/A
139.162.27.201,mongodb,6.0.27,2025-07-31
185.209.22.118,mongodb,7.0.11,False
139.162.207.66,mongodb,unknown,N/A
5.255.121.132,mongodb,6.0.27,2025-07-31
136.144.29.203,mongodb,4.0.2,2022-04-30
93.95.119.100,mongodb,7.0.31,False
188.137.182.21,mongodb,7.0.34,False
139.162.162.145,mongodb,6.0.8,2025-07-31
188.137.251.233,mongodb,7.0.31,False
185.209.20.226,mongodb,8.0.4,False
139.162.39.135,mongodb,4.0.28,2022-04-30
185.165.44.122,mongodb,unknown,N/A
136.144.215.161,mongodb,8.0.0,False
194.242.33.199,mongodb,4.0.2,2022-04-30
139.162.43.243,mongodb,4.4.28,2024-02-29
37.18.41.45,mongodb,7.0.29,False
139.162.159.60,mongodb,8.0.9,False
2.58.165.63,mongodb,7.0.32,False
31.187.198.146,mongodb,unknown,N/A
136.144.29.241,mongodb,4.0.10,2022-04-30
31.44.5.187,mongodb,unknown,N/A
85.10.146.248,mongodb,unknown,N/A
45.144.166.26,mongodb,3.4.16,2020-01-31
139.162.225.58,mongodb,3.0.12,2018-02-28
37.34.57.90,mongodb,4.4.1,2024-02-29
139.162.153.168,mongodb,6.0.16,2025-07-31
136.144.250.159,mongodb,4.4.8,2024-02-29
212.237.216.10,mongodb,7.0.25,False
139.162.25.173,mongodb,4.4.18,2024-02-29
45.144.166.54,mongodb,3.4.16,2020-01-31
139.162.42.173,mongodb,5.0.31,2024-10-31
185.82.73.151,mongodb,7.0.34,False
139.162.60.37,mongodb,7.0.12,False
139.162.38.49,mongodb,6.0.16,2025-07-31
37.218.247.97,mongodb,4.4.6,2024-02-29
139.162.82.160,mongodb,5.0.27,2024-10-31
45.91.132.93,mongodb,3.6.0,2021-04-30
139.162.33.103,mongodb,6.0.16,2025-07-31
185.228.82.186,mongodb,7.0.25,False
45.136.237.53,mongodb,4.4.29,2024-02-29
62.131.202.226,mongodb,8.0.12,False
45.136.254.43,mongodb,4.4.29,2024-02-29
31.14.98.215,mongodb,unknown,N/A
139.162.161.191,mongodb,5.0.27,2024-10-31
