ip,port,status_code,server_header,nginx_version
"185.156.160.23","80","403","nginx","unknown"
"185.156.160.23","443","200","nginx","unknown"
"37.97.203.180","80","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"37.97.203.180","443","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"185.225.27.167","80","404","nginx","unknown"
"185.225.27.167","443","404","nginx","unknown"
"37.72.106.219","80","403","nginx","unknown"
"92.66.24.186","80","404","nginx","unknown"
"92.66.24.186","443","200","nginx","unknown"
"185.183.33.248","80","404","nginx/1.26.3","1.26.3"
"185.183.33.248","443","404","nginx/1.26.3","1.26.3"
"91.198.171.195","80","200","nginx","unknown"
"91.198.171.195","443","200","nginx","unknown"
"159.253.5.163","80","200","nginx","unknown"
"94.124.57.161","80","200","nginx","unknown"
"45.156.158.234","80","404","nginx","unknown"
"45.156.158.234","443","200","nginx","unknown"
"139.162.61.19","80","200","nginx","unknown"
"81.207.58.237","80","200","nginx","unknown"
"81.207.58.237","443","200","nginx","unknown"
"178.18.31.20","80","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"178.18.31.20","443","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"5.132.39.63","80","200","nginx","unknown"
"5.132.39.63","443","200","nginx","unknown"
"139.162.226.251","80","404","nginx","unknown"
"139.162.226.251","443","404","nginx","unknown"
"185.185.212.240","80","403","nginx","unknown"
"185.185.212.240","443","403","nginx","unknown"
"178.84.27.14","80","200","nginx","unknown"
"213.174.139.149","80","403","nginx/1.22.0","1.22.0"
"213.174.139.149","443","403","nginx/1.22.0","1.22.0"
"37.128.148.30","80","200","nginx","unknown"
"37.128.148.30","443","200","nginx","unknown"
"185.42.74.58","80","403","nginx","unknown"
"185.42.74.58","443","200","nginx","unknown"
"194.117.69.58","80","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"136.144.206.59","80","200","nginx","unknown"
"136.144.206.59","443","200","nginx","unknown"
"193.41.32.165","80","404","nginx","unknown"
"193.41.32.165","443","404","nginx","unknown"
"89.149.202.7","80","401","nginx","unknown"
"89.149.202.7","443","401","nginx","unknown"
"139.162.69.58","80","200","nginx/1.21.5","1.21.5"
"139.162.69.58","443","200","nginx/1.21.5","1.21.5"
"43.245.227.248","80","200","nginx/1.29.1","1.29.1"
"43.245.227.248","443","200","nginx/1.29.1","1.29.1"
"5.132.36.177","80","200","nginx","unknown"
"185.33.116.25","80","200","nginx","unknown"
"185.33.116.25","443","200","nginx","unknown"
"139.162.40.165","80","404","nginx/1.10.1","1.10.1"
"139.162.40.165","443","401","nginx/1.10.1","1.10.1"
"185.156.160.134","80","403","nginx","unknown"
"185.156.160.134","443","200","nginx","unknown"
"141.224.210.155","80","200","nginx","unknown"
"37.97.208.143","80","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"37.97.208.143","443","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"84.41.135.207","80","200","nginx","unknown"
"46.23.88.201","80","404","nginx/1.28.3","1.28.3"
"46.23.88.201","443","200","nginx/1.28.3","1.28.3"
"185.49.145.129","80","403","nginx","unknown"
"185.49.145.129","443","403","nginx","unknown"
"128.0.64.137","80","200","nginx","unknown"
"128.0.64.137","443","200","nginx","unknown"
"83.87.224.93","80","200","nginx","unknown"
"83.87.224.93","443","200","nginx","unknown"
"62.59.195.93","80","200","nginx","unknown"
"93.119.14.229","80","200","nginx","unknown"
"93.119.14.229","443","200","nginx","unknown"
"37.97.180.239","80","403","nginx/1.10.3 (Ubuntu)","1.10.3"
"37.97.180.239","443","200","nginx","unknown"
"81.4.86.214","80","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"62.200.147.129","80","200","nginx","unknown"
"62.200.147.129","443","200","nginx","unknown"
"89.149.242.89","80","200","nginx","unknown"
"89.149.242.89","443","200","nginx","unknown"
"139.162.19.20","80","404","nginx-rc","unknown"
"178.162.175.40","80","200","nginx","unknown"
"178.162.175.40","443","200","nginx","unknown"
"23.109.230.24","80","403","nginx/1.18.0","1.18.0"
"23.109.230.24","443","403","nginx/1.18.0","1.18.0"
"176.56.237.225","80","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"176.56.237.225","443","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"62.212.95.95","80","200","nginx","unknown"
"62.212.95.95","443","200","nginx","unknown"
"45.140.188.151","80","200","nginx/1.28.0","1.28.0"
"45.140.188.151","443","200","nginx/1.28.0","1.28.0"
"139.162.17.113","80","200","nginx/1.12.2","1.12.2"
"37.143.87.34","80","403","freenginx","unknown"
"37.143.87.34","443","403","freenginx","unknown"
"136.144.174.42","80","200","nginx","unknown"
"136.144.174.42","443","200","nginx","unknown"
"85.10.150.113","80","503","nginx","unknown"
"45.142.147.106","80","502","nginx","unknown"
"45.142.147.106","443","502","nginx","unknown"
"93.119.14.77","80","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"93.119.14.77","443","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"139.162.150.131","80","503","nginx","unknown"
"139.162.150.131","443","503","nginx","unknown"
"94.131.223.112","80","403","nginx/1.20.2","1.20.2"
"94.131.223.112","443","403","nginx/1.20.2","1.20.2"
"93.117.221.180","80","200","nginx","unknown"
"93.117.221.180","443","200","nginx","unknown"
"185.71.61.214","80","200","nginx","unknown"
"185.71.61.214","443","200","nginx","unknown"
"185.28.37.26","80","200","nginx","unknown"
"185.28.37.26","443","200","nginx","unknown"
"190.106.72.135","80","200","nginx/1.20.1","1.20.1"
"190.106.72.135","443","200","nginx/1.20.1","1.20.1"
"37.128.148.241","80","200","nginx","unknown"
"37.128.148.241","443","200","nginx","unknown"
"185.95.26.230","80","200","nginx","unknown"
"185.95.26.230","443","200","nginx","unknown"
"185.229.35.134","80","200","nginx","unknown"
"185.229.35.134","443","200","nginx","unknown"
"185.244.218.24","80","200","nginx/1.26.3","1.26.3"
"185.244.218.24","443","200","nginx/1.26.3","1.26.3"
"149.210.205.222","80","404","nginx/1.18.0 (Ubuntu)","1.18.0"
"149.210.205.222","443","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"136.144.176.208","80","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"136.144.176.208","443","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"103.246.147.63","80","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"103.246.147.63","443","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"81.91.177.185","80","200","nginx","unknown"
"81.91.177.185","443","200","nginx","unknown"
"37.252.122.70","80","200","nginx","unknown"
"139.162.255.60","80","200","nginx/1.26.0 (Ubuntu)","1.26.0"
