org,count
"NL-Exa-AS - Exa B.V., NL",1
"GEANT_IAS_VRF - GEANT Vereniging, NL",1
"NEXTPERTISE - Nextpertise B.V., NL",1
"IP-PROJECTS - Michael Sebastian Schinzel trading as IP-Projects GmbH & Co. KG, DE",1
"GL-IX-AS - Totaalnet Internet Works B.V., NL",1
"VIBEGAMES - VibeGAMES B.V., NL",1
"INTERSTROOM-AS - Interstroom Informatietechnologie BV, NL",1
"PREVIDER-AS - Previder B.V., NL",1
"MinEZ-DICTU - Ministerie van Economische Zaken, NL",1
"NEDERLANDNET-AS - Computel Standby BV, NL",1
"Cloudcontainers - Initworks b.v., NL",1
"AS270824 - ENX Services, BR",1
"UTWENTE-AS - SURF B.V., NL",1
"COPACO-CLOUD-BACKBONE - Copaco Cloud B.V., NL",1
"Synovate_Comcon-AS - Ipsos Comcon LLC, RU",1
"iunxi - iunxi B.V., NL",1
"IS-AS-1 - Interserver, Inc, US",1
"OVH - OVH SAS, FR",1
"HS - Host Sailor Ltd, AE",1
"quickhostuk - QuickHostUK Limited, GB",1
"MILLENIALHOSTLIMITED-AS-GB - MillenialHost Limited, HK",1
"ULTAHOST-AS - Ultahost, Inc., US",1
"SIT - ExtraIP B.V., NL",1
"FMO-Solutions - FMO Solutions B.V., NL",1
"SB_Service-AS - SB:Service Ltd, RU",1
"SKO-IT - Contict B.V., NL",1
"Prosveshcheniye-AS - Joint-Stock Company _Prosveshcheniye publishers_, RU",1
"MMATON-AS - Max Maton, NL",1
"STEFFANN-DC-AS - S.J.M. Steffann, NL",1
"ERITAP-AS - Arend Brouwer, NL",1
"NETLOGICS-AS - ADES BV, NL",1
"VSHOSTING - VSHOSTING-CDN, CZ",1
