ip,version,cve_id,base_score,base_severity,cvss_version
136.144.253.96,unknown,,,,
141.101.241.71,1.6.2,CVE-2016-0742,7.5,HIGH,3.1
141.101.241.71,1.6.2,CVE-2016-0746,9.8,CRITICAL,3.1
141.101.241.71,1.6.2,CVE-2016-0747,5.3,MEDIUM,3.1
141.101.241.71,1.6.2,CVE-2016-4450,7.5,HIGH,3.1
141.101.241.71,1.6.2,CVE-2016-1247,7.8,HIGH,3.1
141.101.241.71,1.6.2,CVE-2017-7529,7.5,HIGH,3.1
141.101.241.71,1.6.2,CVE-2018-16845,6.1,MEDIUM,3.1
141.101.241.71,1.6.2,CVE-2019-20372,5.3,MEDIUM,3.1
141.101.241.71,1.6.2,CVE-2021-23017,7.7,HIGH,3.1
141.101.241.71,1.6.2,CVE-2017-20005,9.8,CRITICAL,3.1
141.101.241.71,1.6.2,CVE-2021-3618,7.4,HIGH,3.1
141.101.241.71,1.6.2,CVE-2022-41741,7.8,HIGH,3.1
141.101.241.71,1.6.2,CVE-2022-41742,7.1,HIGH,3.1
141.101.241.71,1.6.2,CVE-2026-49975,7.5,HIGH,3.1
2.57.239.71,unknown,,,,
213.174.138.231,1.22.0,CVE-2022-41741,7.8,HIGH,3.1
213.174.138.231,1.22.0,CVE-2022-41742,7.1,HIGH,3.1
213.174.138.231,1.22.0,CVE-2023-44487,7.5,HIGH,3.1
213.174.138.231,1.22.0,CVE-2025-23419,5.3,MEDIUM,4.0
213.174.138.231,1.22.0,CVE-2026-49975,7.5,HIGH,3.1
202.148.53.98,unknown,,,,
213.152.183.53,unknown,,,,
88.211.233.140,1.24.0,CVE-2023-44487,7.5,HIGH,3.1
88.211.233.140,1.24.0,CVE-2025-23419,5.3,MEDIUM,4.0
88.211.233.140,1.24.0,CVE-2026-49975,7.5,HIGH,3.1
185.244.218.82,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
185.244.218.82,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
185.244.218.82,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
185.244.218.82,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
185.244.218.82,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
185.244.218.82,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
185.244.218.82,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
185.80.233.68,unknown,,,,
92.108.166.86,unknown,,,,
212.7.200.133,unknown,,,,
45.91.119.4,unknown,,,,
170.62.105.42,unknown,,,,
109.72.86.89,unknown,,,,
31.44.0.49,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
31.44.0.49,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
31.44.0.49,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
31.44.0.49,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
31.44.0.49,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
31.44.0.49,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
31.44.0.49,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
5.182.208.61,unknown,,,,
37.128.148.107,unknown,,,,
84.83.237.131,unknown,,,,
188.209.213.233,1.29.6,CVE-2026-49975,7.5,HIGH,3.1
5.255.99.167,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
5.255.99.167,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
5.255.99.167,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
5.255.99.167,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
5.255.99.167,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
5.255.99.167,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
5.255.99.167,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
178.255.196.120,unknown,,,,
89.105.213.38,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
89.105.213.38,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
89.105.213.38,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
89.105.213.38,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
89.105.213.38,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
89.105.213.38,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
89.105.213.38,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
145.38.207.133,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
145.38.207.133,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
145.38.207.133,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
145.38.207.133,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
145.38.207.133,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
145.38.207.133,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
145.38.207.133,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
139.162.227.103,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
139.162.227.103,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
139.162.227.103,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
139.162.227.103,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
139.162.227.103,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
139.162.227.103,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
139.162.227.103,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
194.180.189.237,1.28.0,CVE-2026-49975,7.5,HIGH,3.1
213.227.143.142,unknown,,,,
62.112.11.244,unknown,,,,
141.101.249.12,1.14.2,CVE-2018-16845,6.1,MEDIUM,3.1
141.101.249.12,1.14.2,CVE-2019-9511,7.5,HIGH,3.1
141.101.249.12,1.14.2,CVE-2019-9513,7.5,HIGH,3.1
141.101.249.12,1.14.2,CVE-2019-9516,6.5,MEDIUM,3.1
141.101.249.12,1.14.2,CVE-2019-20372,5.3,MEDIUM,3.1
141.101.249.12,1.14.2,CVE-2021-23017,7.7,HIGH,3.1
141.101.249.12,1.14.2,CVE-2021-3618,7.4,HIGH,3.1
141.101.249.12,1.14.2,CVE-2022-41741,7.8,HIGH,3.1
141.101.249.12,1.14.2,CVE-2022-41742,7.1,HIGH,3.1
141.101.249.12,1.14.2,CVE-2023-44487,7.5,HIGH,3.1
141.101.249.12,1.14.2,CVE-2025-23419,5.3,MEDIUM,4.0
141.101.249.12,1.14.2,CVE-2026-49975,7.5,HIGH,3.1
77.251.181.125,unknown,,,,
185.91.12.17,unknown,,,,
185.85.17.171,unknown,,,,
185.92.149.74,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
185.92.149.74,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
185.92.149.74,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
185.92.149.74,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
185.92.149.74,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
185.92.149.74,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
185.92.149.74,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
83.172.129.74,unknown,,,,
45.137.88.55,unknown,,,,
85.17.4.97,unknown,,,,
37.97.206.145,unknown,,,,
212.237.253.121,unknown,,,,
81.18.170.122,unknown,,,,
170.62.109.64,unknown,,,,
89.149.200.173,unknown,,,,
45.14.224.108,unknown,,,,
185.156.162.17,unknown,,,,
83.82.68.7,unknown,,,,
95.211.6.229,unknown,,,,
130.89.7.12,unknown,,,,
88.211.241.54,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
88.211.241.54,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
88.211.241.54,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
88.211.241.54,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
88.211.241.54,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
88.211.241.54,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
88.211.241.54,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
37.128.148.113,unknown,,,,
80.85.141.68,unknown,,,,
85.10.131.105,1.25.5,CVE-2025-23419,5.3,MEDIUM,4.0
85.10.131.105,1.25.5,CVE-2026-49975,7.5,HIGH,3.1
45.128.220.109,unknown,,,,
139.162.147.52,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
139.162.147.52,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
139.162.147.52,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
139.162.147.52,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
139.162.147.52,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
139.162.147.52,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
139.162.147.52,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
85.17.151.233,1.29.1,CVE-2026-49975,7.5,HIGH,3.1
139.162.145.17,unknown,,,,
37.97.208.71,1.22.1,CVE-2023-44487,7.5,HIGH,3.1
37.97.208.71,1.22.1,CVE-2025-23419,5.3,MEDIUM,4.0
37.97.208.71,1.22.1,CVE-2026-49975,7.5,HIGH,3.1
94.199.251.33,unknown,,,,
193.56.8.137,1.20.1,CVE-2021-3618,7.4,HIGH,3.1
193.56.8.137,1.20.1,CVE-2022-41741,7.8,HIGH,3.1
193.56.8.137,1.20.1,CVE-2022-41742,7.1,HIGH,3.1
193.56.8.137,1.20.1,CVE-2023-44487,7.5,HIGH,3.1
193.56.8.137,1.20.1,CVE-2025-23419,5.3,MEDIUM,4.0
193.56.8.137,1.20.1,CVE-2026-49975,7.5,HIGH,3.1
81.172.193.51,unknown,,,,
178.18.31.27,1.24.0,CVE-2023-44487,7.5,HIGH,3.1
178.18.31.27,1.24.0,CVE-2025-23419,5.3,MEDIUM,4.0
178.18.31.27,1.24.0,CVE-2026-49975,7.5,HIGH,3.1
62.238.185.43,1.6.2,CVE-2016-0742,7.5,HIGH,3.1
62.238.185.43,1.6.2,CVE-2016-0746,9.8,CRITICAL,3.1
62.238.185.43,1.6.2,CVE-2016-0747,5.3,MEDIUM,3.1
62.238.185.43,1.6.2,CVE-2016-4450,7.5,HIGH,3.1
62.238.185.43,1.6.2,CVE-2016-1247,7.8,HIGH,3.1
62.238.185.43,1.6.2,CVE-2017-7529,7.5,HIGH,3.1
62.238.185.43,1.6.2,CVE-2018-16845,6.1,MEDIUM,3.1
62.238.185.43,1.6.2,CVE-2019-20372,5.3,MEDIUM,3.1
62.238.185.43,1.6.2,CVE-2021-23017,7.7,HIGH,3.1
62.238.185.43,1.6.2,CVE-2017-20005,9.8,CRITICAL,3.1
62.238.185.43,1.6.2,CVE-2021-3618,7.4,HIGH,3.1
62.238.185.43,1.6.2,CVE-2022-41741,7.8,HIGH,3.1
62.238.185.43,1.6.2,CVE-2022-41742,7.1,HIGH,3.1
62.238.185.43,1.6.2,CVE-2026-49975,7.5,HIGH,3.1
80.91.219.224,unknown,,,,
87.58.216.44,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
87.58.216.44,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
87.58.216.44,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
87.58.216.44,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
87.58.216.44,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
87.58.216.44,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
87.58.216.44,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
139.162.128.178,unknown,,,,
37.72.106.208,unknown,,,,
185.107.94.33,1.29.0,CVE-2026-49975,7.5,HIGH,3.1
89.149.241.79,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
89.149.241.79,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
89.149.241.79,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
89.149.241.79,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
89.149.241.79,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
89.149.241.79,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
89.149.241.79,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
172.241.52.92,1.24.0,CVE-2023-44487,7.5,HIGH,3.1
172.241.52.92,1.24.0,CVE-2025-23419,5.3,MEDIUM,4.0
172.241.52.92,1.24.0,CVE-2026-49975,7.5,HIGH,3.1
43.245.226.8,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
43.245.226.8,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
43.245.226.8,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
43.245.226.8,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
43.245.226.8,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
43.245.226.8,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
43.245.226.8,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
185.45.44.94,unknown,,,,
95.168.164.90,unknown,,,,
95.168.165.91,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
95.168.165.91,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
95.168.165.91,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
95.168.165.91,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
95.168.165.91,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
95.168.165.91,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
95.168.165.91,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
139.162.20.217,1.24.0,CVE-2023-44487,7.5,HIGH,3.1
139.162.20.217,1.24.0,CVE-2025-23419,5.3,MEDIUM,4.0
139.162.20.217,1.24.0,CVE-2026-49975,7.5,HIGH,3.1
37.128.148.56,unknown,,,,
83.149.101.171,unknown,,,,
45.138.126.130,1.22.0,CVE-2022-41741,7.8,HIGH,3.1
45.138.126.130,1.22.0,CVE-2022-41742,7.1,HIGH,3.1
45.138.126.130,1.22.0,CVE-2023-44487,7.5,HIGH,3.1
45.138.126.130,1.22.0,CVE-2025-23419,5.3,MEDIUM,4.0
45.138.126.130,1.22.0,CVE-2026-49975,7.5,HIGH,3.1
147.90.12.241,1.24.0,CVE-2023-44487,7.5,HIGH,3.1
147.90.12.241,1.24.0,CVE-2025-23419,5.3,MEDIUM,4.0
147.90.12.241,1.24.0,CVE-2026-49975,7.5,HIGH,3.1
185.110.173.101,unknown,,,,
139.162.122.154,unknown,,,,
81.207.25.253,unknown,,,,
185.98.53.161,unknown,,,,
139.162.60.174,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
139.162.60.174,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
139.162.60.174,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
139.162.60.174,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
139.162.60.174,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
139.162.60.174,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
139.162.60.174,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
213.156.7.82,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
213.156.7.82,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
213.156.7.82,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
213.156.7.82,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
213.156.7.82,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
213.156.7.82,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
213.156.7.82,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
185.218.226.117,unknown,,,,
77.243.232.248,unknown,,,,
5.182.211.31,unknown,,,,
2.58.165.112,unknown,,,,
185.229.55.118,unknown,,,,
91.211.251.127,unknown,,,,
78.111.88.165,unknown,,,,
139.162.62.64,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
139.162.62.64,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
139.162.62.64,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
139.162.62.64,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
139.162.62.64,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
139.162.62.64,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
139.162.62.64,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
45.141.27.75,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
45.141.27.75,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
45.141.27.75,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
45.141.27.75,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
45.141.27.75,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
45.141.27.75,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
45.141.27.75,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
45.144.244.20,unknown,,,,
194.247.187.182,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
194.247.187.182,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
194.247.187.182,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
194.247.187.182,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
194.247.187.182,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
194.247.187.182,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
194.247.187.182,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
62.45.14.246,unknown,,,,
185.73.32.3,unknown,,,,
149.210.197.175,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
149.210.197.175,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
149.210.197.175,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
149.210.197.175,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
149.210.197.175,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
149.210.197.175,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
149.210.197.175,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
194.171.193.180,unknown,,,,
94.131.223.50,1.18.0,CVE-2021-23017,7.7,HIGH,3.1
94.131.223.50,1.18.0,CVE-2021-3618,7.4,HIGH,3.1
94.131.223.50,1.18.0,CVE-2022-41741,7.8,HIGH,3.1
94.131.223.50,1.18.0,CVE-2022-41742,7.1,HIGH,3.1
94.131.223.50,1.18.0,CVE-2023-44487,7.5,HIGH,3.1
94.131.223.50,1.18.0,CVE-2025-23419,5.3,MEDIUM,4.0
94.131.223.50,1.18.0,CVE-2026-49975,7.5,HIGH,3.1
31.44.7.6,1.27.1,CVE-2025-23419,5.3,MEDIUM,4.0
31.44.7.6,1.27.1,CVE-2026-49975,7.5,HIGH,3.1
83.96.244.97,1.14.2,CVE-2018-16845,6.1,MEDIUM,3.1
83.96.244.97,1.14.2,CVE-2019-9511,7.5,HIGH,3.1
83.96.244.97,1.14.2,CVE-2019-9513,7.5,HIGH,3.1
