org,count
"XRCservices - NXTcom Nederland BV, NL",16
"matreon-as - Mick de Jong trading as Matreon IT, NL",16
"Booking-BV - Booking.com BV, NL",16
"Mega-AS - Mega Ltd., RU",16
"SINET-ISP-AS - SINET ISP. LLC, UA",16
"PerfGrid - Lucas Rolff trading as PerfGrid, NL",16
"SONA-AS - Sona Network B.V., NL",16
"FDCSERVERS - FDCservers.net, US",16
"SOFTLAYER - IBM Cloud, US",16
"P-PROS - Blue Coded B.V., NL",16
"NTSERVICE-AS - Rices Privately owned enterprise, UA",16
"ANNEX-PRO-AS - OOO _SPETSTELECOM-YUG_, RU",16
"LCPDCO - DC STAR nv, BE",16
"SECUREDSERVERS-EU - PHOENIX NAP, LLC., US",16
"TFN-TW - Taiwan Fixed Network, Telco and Network Service Provider., TW",16
"Skylinq - Fiberlinq B.V., NL",16
"PRIMONET-AS - PP _Sidor_, UA",16
"IWSNET - IWS NETWORKS LLC, AM",16
"SAASNOW - Saas Now B.V., NL",16
"DIGITAL-REALTY-NL - Digital Realty Netherlands B.V., NL",16
"MicaIP - Mica IT B.V., NL",16
"RUDN-AS - Federal State Institution of Higher Professional Education _Peoples Friendship University of Russia_, RU",16
"BytePark - Rogier Krieger, NL",16
"CLOUDFLARESPECTRUM - Cloudflare London, LLC, US",16
"zerospace - Fiber Services B.V., NL",16
"GTT-BACKBONE - GTT Communications Inc., US",16
"SOLID - Solid Systems LLC, US",16
"VYPER-HOSTING - Vyper Hosting Limited, GB",16
"COOLNET-AS - COOLNET LLC, UA",16
"MICRODATA-AS - Microdata Aps, DK",16
"MinVenW-RWS - MinVenW-RWS, NL",16
"scc - Smith Computer Centrum Computers BV, NL",16
"INTERBOX-AS - Lubbers Box Telematica BV, NL",16
"PEACEWEB-CLOUD - PeaceWeb, US",16
"flowmailer - Flowmailer B.V., NL",16
"CorporatsiaZNAKAS - Corporatsia ZNAK LLC, RU",16
"Midion-AS - Midion LLC, RU",12
"H2B - H2B Assets B.V., NL",12
"Nikhef - Stichting Nederlandse Wetenschappelijk Onderzoek Instituten, NL",12
"OPENFIBER - OPENFIBER B.V., NL",12
"SB_Service-AS - SB:Service Ltd, RU",12
"TELEMAGIC-AS - Telemagic B.V., NL",12
"WSO-AS - Wholesale Operator B.V., NL",12
"TFLABS - Tristan ter Haar trading as TFLabs, NL",12
"Stroymontag-AS - LLC Sedrus, RU",12
"WORLDICT - World-ICT B.V., NL",12
"UKSERVERS-AS - UK Dedicated Servers Limited, GB",12
"MCC - Schuberg Philis B.V., NL",12
"GALACTICGROUP-AS - Galactic Group B.V., NL",12
"ZETA-CLEAN-INTERNET - Zeta Datacenters B.V., NL",12
"ITSHOSTED-AS - ITS HOSTED, NL",12
"QWINS-LTD - QWINS LTD, GB",12
"CHEAPCONNECT - Aeacus B.V., NL",12
"IPVN-AS01 - IP Visie Networking B.V., NL",12
"DATAFOREST - dataforest GmbH, DE",12
"GOOGLE-CLOUD-PLATFORM - Google LLC, US",12
"YOUTUBE - Google Ireland Limited, IE",12
"GOOGLE - Google LLC, US",12
"acknowledge-bc - Acknowledge Benelux B.V., NL",12
"BAKKER-IT-AS - The Mastermind Holding B.V., NL",12
"UTELISYS - Utelisys Communications B.V., NL",12
"OLILO-AS - Olilo UK & Ireland Ltd, GB",12
"NAML - NAML B.V., NL",12
"iteeco - Iteeco Cooperatie U.A., NL",12
"Dlink-AS - D-Link Trade Ltd., RU",12
"VSERVERLTD - vServer.site LTD, GB",12
"REBACOM-AS - REBA Communications BV, NL",12
"MSI-AS - Micro-Star Netherlands Holding B.V., NL",12
"Cyberfusion - Cyberfusion B.V., NL",12
"LOWPING-NL - Raoul Brouns is trading as LowPing NL, NL",12
"H4Y-SR-POOL0 - Hostingforyou B.V., NL",12
"BREEDBANDDELFT - Stichting Breedband Delft, NL",12
"Pictura-net - Vitec Memorix B.V., NL",12
"ITH-AS - ITH Ltd., RU",12
"as-connectium - Connectium B.V., NL",12
"RDKIT - RDK IT Solutions B.V., NL",12
"VOIPQ-AS - VoipQ B.V., NL",12
"NL-Exa-AS - Exa B.V., NL",12
"INTERFORCE - Interforce Networks BV, NL",12
"GREENHOST-AS-AP - Greenhost BV, NL",12
"GEANT - GEANT Vereniging, NL",12
"BBNED-AS #1 - Odido Netherlands B.V., NL",12
"GAMEHOUSEEUROPE - GameHouse Europe BV, NL",12
"SKYRENT-NL - SkyRENT B.V., NL",12
"AS-GLOBALTELEHOST - GLOBALTELEHOST Corp., CA",12
"PLUSINE-AS - Plusine Systems B.V., NL",12
"RUSPHONE-AS - LLC _ER-Telecom Moscow_, RU",12
"ZELTELECOM-AS - OOO _Zeltelecom_, RU",12
"SIMAC-ICT-AS - Simac IT NL B.V., NL",12
"ivm - Ivent Mobile bv, NL",12
"LATITUDE-SH - Latitude.sh, US",12
"Prosveshcheniye-AS - Joint-Stock Company _Prosveshcheniye publishers_, RU",12
"RONOIT - Rono-IT BV, NL",8
"AS263824 - Central TV and Internet Limited, BZ",8
"nethuk2 - NETH LTD, GB",8
"ZOHO-EU - ZOHO Corporation B.V, NL",8
"PeakFactory - PeakFactory BV, NL",8
"QSP-AS - Quality Service Provider BV, NL",8
"colocatel-inc - ColocaTel Inc., SC",8
"GLN-AS - Eugene N. Polishchuk, UA",8
"BASEIP - Base IP B.V., NL",8
"MATRIXDATA - Matrix DATA B.V., NL",8
"LC-VBOXX - vBoxx B.V., NL",8
"ServiceCloud-AS - ServiceCloud Ltd., RU",8
"CEB-AS - NEXENT BANK N.V., NL",8
"interedge - InterEdge B.V., NL",8
"ITCREATION - IT Creation B.V., NL",8
"PIO-Hosting - PIO-Hosting GmbH, DE",8
"BittenBytes - Bram Wittendorp trading as BittenBytes, NL",8
"Serverius-Users-as - Serverius Holding B.V., NL",8
"ESOLUTIONS-AS - E-Solutions BV, BE",8
"TRIBION - Tribion B.V., NL",8
