ip,software,version,eol_status
185.188.74.239,Apache/2.4.52 (Unix) OpenSSL/3.2.2 PHP/7.3.33,3.2.2,2025-11-23
45.135.98.253,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
185.222.33.235,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.141.62.127,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
46.235.42.41,Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips mod_fcgid/2.3.9 PHP/5.4.16 mod_python/3.5.0- Python/2.7.5 mod_wsgi/3.4,1.0.1e,2016-12-31
45.141.63.106,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
46.235.42.46,Apache/2.4.62 (AlmaLinux) OpenSSL/3.5.5 mod_fcgid/2.3.9,3.5.5,False
45.140.9.147,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
195.62.23.95,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.145.250.19,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.16,1.0.2k,2019-12-31
45.135.99.89,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
83.137.150.102,Apache/2.2.9 (Debian) mod_ssl/2.2.9 OpenSSL/0.9.8g,0.9.8g,2015-12-31
45.136.64.75,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.136.67.117,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
91.244.205.36,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.136.236.215,Apache/2.4.57 (Win64) OpenSSL/3.1.1 PHP/8.2.7,3.1.1,2025-03-14
45.152.9.80,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
139.162.145.28,Apache/2.4.60 (Unix) OpenSSL/3.3.1 PHP/8.4.5,3.3.1,2026-04-09
185.222.32.53,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
185.222.34.133,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
